id,trigger,conditions,script,text,options,notes
# This file is not required by the game and can be deleted if you aren't using it, but doesn't hurt to keep either.,,,,,
# Official rules.csv guide: https://fractalsoftworks.com/2023/11/13/you-merely-adopted-rules-csv-i-was-born-into-it/,,,,,,
,,,,,,
#  TURORIAL HOW ITS DONE,,,,,,
#  BQFS real version,,,,,,
#  bqfsAskForSuppliesOptionDEV,PopulateOptions,"$global.isDevMode
$postId == supplyOfficer
$faction.c:offersCommissions",SetOptionColor bqfs_devResetCounter gray,,bqfs_devResetCounter:DEV unset resupply counter,
#  bqfsAskForSuppliesOptionDEV2,DialogOptionSelected,$option == bqfs_devResetCounter,"unset $faction.playerReceivedCommissionResupply
FireAll PopulateOptions",,,
#  bqfsIgnoringComms,PickGreeting,"$postId == supplyOfficer
$ignorePlayerCommRequests","ShowDefaultVisual
EndConversation NO_CONTINUE","You try to establish a comm link, but your request is denied.",,# mad at you for trying to cheat the system
#  bqfsAskForSuppliesOptionFirst,PopulateOptions,"$postId == supplyOfficer
$faction.c:offersCommissions
!$player.everAskedForFreeSupplies",,,"bqfs_askForSupplies:""Do you have any supplies to spare?""",
#  bqfsAskForSuppliesOptionAgain,PopulateOptions,"$postId == supplyOfficer
$faction.c:offersCommissions
$player.everAskedForFreeSupplies",FireAll BQFSaskForSuppliesOptCheck,,"bqfs_askForSupplies:""Do you have any supplies to spare?""",
#  bqfsAskForSuppliesOptAgainCheck,BQFSaskForSuppliesOptCheck,"Commission recalcFreeSupplyDaysRemaining
$faction.playerReceivedCommissionResupply
$player.fcm_faction == $personFaction.id","SetEnabled bqfs_askForSupplies false
SetTooltip bqfs_askForSupplies ""You must wait another $daysLeft days before you may be allocated emergency supplies due to your $faction commission.""
SetTooltipHighlights bqfs_askForSupplies ""$daysLeft days"" ""$faction""
SetTooltipHighlightColors bqfs_askForSupplies hColor $faction.id",,,
#  bqfsAskForSuppliesOptAgainCheck2,BQFSaskForSuppliesOptCheck,$player.fcm_faction != $personFaction.id,"SetEnabled bqfs_askForSupplies false
SetTooltip bqfs_askForSupplies ""The $post will only provide supplies to a $shipOrFleet in need and bearing a $faction commission.""
SetTooltipHighlights bqfs_askForSupplies ""$faction""
SetTooltipHighlightColors bqfs_askForSupplies $faction.id",,,
#  bqfsAskedForSuppliesFirstNo,DialogOptionSelected,"$option == bqfs_askForSupplies
!$player.everAskedForFreeSupplies
$player.fcm_faction != $personFaction.id","SetTextHighlightColors $faction.id
Highlight $faction
$player.everAskedForFreeSupplies = true
FireAll PopulateOptions","$HeOrShe glances at a secondary display, checking your $shipOrFleet ID.

""This isn't a charity, spacer,"" $heOrShe says, turning back to you. ""I'd only even consider your request if you held a $faction commission. And you don't. So don't waste my time.""",,"# yes, setting highlights on regular text has to be done in the opposite order from tooltips"
#  bqfsAskedForSuppliesFirstNoLuddic,DialogOptionSelected,"$option == bqfs_askForSupplies
!$player.everAskedForFreeSupplies
$player.fcm_faction != $personFaction.id
$faction.id == luddic_church","SetTextHighlightColors $faction.id
Highlight ""Church of Galactic Redemption"" 
$player.everAskedForFreeSupplies = true
FireAll PopulateOptions","$HeOrShe glances at a secondary display, checking your $shipOrFleet ID.

""Charity may be a virtue, spacer,"" $heOrShe says, ""but I'd only even consider your request if you were actually in need - and commissioned in service of the Church of Galactic Redemption.""

""Mind you that greed is a vice, so pray on that as you move along.""",,
#  bqfsAskedForSupplies,DialogOptionSelected,"$option == bqfs_askForSupplies
Commission doesPlayerFleetNeedRepairs","$player.everAskedForFreeSupplies = true
$option = bqfs_askForSupplies2 0
FireBest DialogOptionSelected","""Hmm,"" the $post looks over a secondary display, casually tapping through a few reports.",,
#  bqfsAskedForSuppliesB,DialogOptionSelected,"$option == bqfs_askForSupplies
!Commission doesPlayerFleetNeedRepairs","$player.everAskedForFreeSupplies = true
$option = bqfs_askForSupplies2 0
FireBest DialogOptionSelected","""Hmm,"" the $post looks over a secondary display, casually tapping through a few reports.",,
#  bqfsAskedForSuppliesHostile,DialogOptionSelected,"$option == bqfs_askForSupplies
$faction.isHostile",$ignorePlayerCommRequests = true 7,"The $post gives you a strange look, then glances at a secondary display. Then, looking slightly alarmed, back at you.

""Wait, are you-"" $HisOrHer eyes dart to the display. ""You're $playerName! Get yourself off of my comm-link.""

$HeOrShe mashes at the cut-off button.",,# don't actually flip the first-time flag 'cause player didn't get the essential game info out of this
#  bqfsAskedForSuppliesScam,DialogOptionSelected,"$option == bqfs_askForSupplies2
$player.fleetLowCR
$player.supplies < 10
Commission isCargoPodsScam","$option = bqfs_askForSuppliesScam 0
FireBest DialogOptionSelected","Something comes up, $hisOrHer eyes narrow, expression growing harder. More tapping. Then $heOrShe turns to you, frowning.",,
#  bqfsAskedForSuppliesScam2generic,DialogOptionSelected,$option == bqfs_askForSuppliesScam,"$option = bqfs_askForSuppliesScamOut 0
FireBest DialogOptionSelected","Something comes up, $hisOrHer eyes narrow, expression growing harder. More tapping. Then $heOrShe turns to you, frowning.

""You don't become the $post without having seen a few tricks over the cycles. I just didn't expect a captain bearing a $faction commission to attempt the old cargo dump on me.""

$HeOrShe sighs, shaking his or her head. ""I'm flagging your commission ID for a cycle. Now get off my comms.""",,
