name,gender,usage,category
,,,
#FIRST NAMES,,,
Jack,m,f,unsf
Daniel,m,f,unsf
Samantha,f,f,unsf
George,m,f,unsf
Vala,f,f,unsf
Cameron,m,f,unsf
Jonas,m,f,unsf
John,m,f,unsf
Rodney,m,f,unsf
Elizabeth,f,f,unsf
Ronon,m,f,unsf
Carson,m,f,unsf
Richard,m,f,unsf
Aiden,m,f,unsf
Paul,m,f,unsf
Jacob,m,f,unsf
Janet,f,f,unsf
Pete,m,f,unsf
Radek,m,f,unsf
Larrin,f,f,unsf
Evan,m,f,unsf
Tomin,m,f,unsf
Adria,f,f,unsf
Catherine,f,f,unsf
Sam,"m, f",f,unsf
Michael,m,f,unsf
Ryan,m,f,unsf
Alex,"m, f",f,unsf
Emily,f,f,unsf
David,m,f,unsf
Hank,m,f,unsf
Kelly,f,f,unsf
Tiffany,f,f,unsf
James,m,f,unsf
Nina,f,f,unsf
Maggie,f,f,unsf
Laura,f,f,unsf
Omar,m,f,unsf
Sophie,f,f,unsf
Eli,m,f,unsf
Jessie,"m, f",f,unsf
Graham,m,f,unsf
Tina,f,f,unsf
Nick,m,f,unsf
,,,
,,,
#LAST NAMES,,,
O'Neill,"m, f",l,unsf
Jackson,"m, f",l,unsf
Carter,"m, f",l,unsf
Hammond,"m, f",l,unsf
Mal Doran,"m, f",l,unsf
Mitchell,"m, f",l,unsf
Quinn,"m, f",l,unsf
Sheppard,"m, f",l,unsf
McKay,"m, f",l,unsf
Weir,"m, f",l,unsf
Dex,"m, f",l,unsf
Beckett,"m, f",l,unsf
Woolsey,"m, f",l,unsf
Ford,"m, f",l,unsf
Davis,"m, f",l,unsf
Fraiser,"m, f",l,unsf
Sumner,"m, f",l,unsf
Zelenka,"m, f",l,unsf
Teldy,"m, f",l,unsf
Marks,"m, f",l,unsf
Keller,"m, f",l,unsf
Landry,"m, f",l,unsf
Cooper,"m, f",l,unsf
Chase,"m, f",l,unsf
Greene,"m, f",l,unsf
Scott,"m, f",l,unsf
Lewis,"m, f",l,unsf
Harris,"m, f",l,unsf
Eckhart,"m, f",l,unsf
Chavez,"m, f",l,unsf
Black,"m, f",l,unsf
Watkins,"m, f",l,unsf
Gordon,"m, f",l,unsf
Miller,"m, f",l,unsf
Bennett,"m, f",l,unsf
Parker,"m, f",l,unsf
Kane,"m, f",l,unsf
Lee,"m, f",l,unsf
Dunn,"m, f",l,unsf
Sullivan,"m, f",l,unsf
Armstrong,"m, f",l,unsf
Taylor,"m, f",l,unsf
Riley,"m, f",l,unsf
Jordan,"m, f",l,unsf
Phelps,"m, f",l,unsf
Edwards,"m, f",l,unsf
Clark,"m, f",l,unsf
Farrell,"m, f",l,unsf
Mason,"m, f",l,unsf
