name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FRIGATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenrir,unsf_Fenrir,Frigate,UNSF Tech,ammofeed,6,1600,120,3200,1875,240,65,,120,100,80,40,80,250,FRONT,,160,0.2,1,,,20,25,50,20,1,25,10,15000,5,5,200,0.25,5,5,,,,,,,"COMBAT,",unsf_bp_hull,,1,2,4,,212
Prometheus,unsf_prometheus,Heavy Frigate,UNSF Tech,damper,10,3500,350,2800,1875,200,80,1,100,60,40,25,40,400,OMNI,,150,0.2,1,,,45,60,100,70,1,40,9,28000,5,5,180,0.25,6,6,,,,,,,"COMBAT, CARRIER,",unsf_bp_hull,,1,2,4,,252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Vanguard - heavy frigate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Aegis - dedicated antiair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DESTEROYERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abydos,unsf_abydos,Medium Freighter,UNSF Tech,damper,8,6000,550,4000,2250,250,90,,75,50,40,20,40,800,OMNI,,90,0.25,1,,,50,250,750,750,2,150,9,50000,5,10,240,0.25,8,8,,,,,,,"CIVILIAN, FREIGHTER,",unsf_bp_hull,,1,2,4,,322
