id,type,text1,text2,text3,text4,notes,Column 08,Column 09,Column 10
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
#astral,SHIP,Text goes here,,,,,,,
,,,,,,,,,
unsf_faction,FACTION,"Faction lost it space by experimental drive mounted on city ship, wormhole drive as it was called then suffered malfuncion and dropped city and its inhabitants near planet Oberon without power to engines. Rest is history.",,,,,,,
unsf_requisition,FACTION,"UNSF Requisition branch supplies the biggest, most powerful ships, weapons, and wings. Outsiders are usually not trusted to be issued such tools, but well cooperating parties might get their hands on some.",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
unsf_aegirgast_station,CUSTOM,"Aegirgast, a gigastation built in the shadow of the shattered planet Aegir, is the lifeblood of the UNSF. The exposed resource veins of Aegir's remains are mined relentlessly, fueling the faction’s growing economy, driving industrial production, and sustaining its military might with unmatched efficiency.",,,,,,,
unsf_nidavellir_station,CUSTOM,"Nidavellir, a gargantuan station orbiting perilously close to the star Nyxara, taps directly into solar energy, transforming it into the lifeblood of UNSF’s industry. Here, alloys are forged, ships take form, and the foundations of the faction’s expanding civilization are meticulously constructed.",,,,,,,
unsf_atlantis_station,CUSTOM,"Atlantis Station, affectionately dubbed 'New Atlantis' by locals, is a repository of the precious technologies scavenged from the ruins of its namesake, now submerged deep beneath Oberon’s oceans. This floating relic stands as both a symbol of UNSF's past and a beacon of its technological future, where each piece of recovered technology fuels progress and hope.",,,,,,,
,,,,,,,,,
unsf_ignara_planet,CUSTOM,"Ignara, the lone giant of the Niltrof system, only body with stable orbit, anchoring the system’s single jump point. Its importance to UNSF as the gateway to the system is immeasurable.",,,,,,,
unsf_oberon_planet,CUSTOM,"Oberon, a serene water world, bore witness to a cataclysmic event—the crash-landing of an entire city. This violent impact marked the planet’s first colonization, and though the city shield remained intact, city did not, and its wreckage rapidly sunk beneath he waves, the UNSF has since adapted to the challenges of settling a world of endless oceans scavenging what they can from only memory to their home.",,,,,,,
unsf_argos_planet,CUSTOM,"Argos, a frozen world of endless tundras and sub-zero temperatures, now serves as the backbone of UNSF’s fuel production efforts. Here, in the planet’s icy depths and harsh cold environment are exploited by cutting-edge refineries for massive fuel production.",,,,,,,
,,,,,,,,,
"#BALLISTICS - long range, medium damage",,,,,,,,,
unsf_railgun_pd,WEAPON,"Basic missile and fighter defense system, shoots explosive projectiles to intercept incoming munitions and fighters.",,,,,,,
unsf_railgun_small,WEAPON,"A cornerstone of every UNSF ship is this multipurpose railgun. It's small, perfect for defending against fighters, and suppressing shields of enemies that got too close. ",,,,,,,
unsf_railgun_medium,WEAPON,"Take two Type-1s make them larger, then weld them together. Perfect for mid-sized hulls as primary suppression and shield pressure weapon.   ",,,,,,,
unsf_flak_ted,WEAPON,"A large flak Timed Explosion Device launcher, hosting powerful two-stage projectiles that tear missiles and strike-craft to shreds, provided, you have the capacity to install it.",,,,,,,
unsf_shotgun,WEAPON,"Limited UNSF navy capabilities of close-quarter combat have lead to a development of this primitive, yet effective weapon. Fires a spread of explosive pellets, aimed at stripping enemy armor.",,,,,,,
"#PULSE WEAPONS - long range, medium damage",,,,,,,,,
