name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#RAILGUNS - basicaly PD with extra steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-1 PD Railgun,unsf_railgun_pd,1,0,800,500,,70,,4,65,5,,,,FRAGMENTATION,1,,0,0.5,3,0.01,0,3,0.1,2,,1000,,,20,PD,"kinetic15, unsf_bp_wpn",,,,Point Defense,,,,,,,,,,
Type-1 Railgun small,unsf_railgun_small,1,0,6655,500,,15,3,5,100,5,,,,KINETIC,2,,0,0.8,10,0.01,0,3,0.1,2,,1000,,,,"ANTI_FTR, PD, ","kinetic15, unsf_bp_wpn",,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Type-2 Railgun medium,unsf_railgun,1,1,6655,800,,20,3,5,100,15,,,,KINETIC,3,,0,0.8,15,0.01,0,3,0.1,2,,1000,,,,"ANTI_FTR,","kinetic15, unsf_bp_wpn",,,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#PULSE WEAPONS - long range, medium damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-3 Pulse Railgun,unsf_coilgun,0,,600,1000,,90,,25,30,7,,,,HIGH_EXPLOSIVE,50,,0,0.4,,,0,5,1,0.5,,1000,,,30,,,,,,,,,,,,,,,,
Type-4 Pulse Railgun,unsf_pulsar,1,0,800,1000,,850,1,20,100,6,300,,,FRAGMENTATION,2,,0,3,3,0.25,0,4,0.1,2,,1000,,,100,"STRIKE, USE_VS_FRIGATES,",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FIGHTER WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fighter railgun,unsf_railgun_fighter,1,1,1500,600,,6,,1,1,0,,,,KINETIC,8,,,0.4,12,0.07,1,3,0.1,2,,1400,,,75,"SYSTEM, ANTI_FTR, PD",,,,,,,,,,,,,,,
Missile(anti-air) fighter,unsf_vls_0_fighter,1,,3000,1500,,75,,120,100,15,2,,,FRAGMENTATION,0,,0,2,1,0.2,0,0,0,0,,600,50,3.75,250,"SYSTEM, ANTI_FTR, DIRECT_AIM, DO_NOT_CONSERVE",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Missile(anti-ship) fighter,unsf_vls_1_fighter,1,,250,1500,,450,50,5,50,0,2,,,HIGH_EXPLOSIVE,0,,0,2,1,0.2,0,0,0,0,,600,50,3.75,85,"SYSTEM, STRIKE, USE_VS_FRIGATES, DIRECT_AIM",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
Space JDAM,unsf_bomb_pylon,,,750,1500,,2000,,90,1,0,1,,,HIGH_EXPLOSIVE,0,,0,0.3,,,10,60,5,,,80,80,15,400,,,,,,,,,,,,,,,,
#Drones = soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Missile(antiship) fighter - TB REMOVED,unsf_vls_3_fighter,1,,250,1000,,200,50,5,50,0,4,,,HIGH_EXPLOSIVE,0,,0,2,1,0.2,0,0,0,0,,600,50,3.75,85,"SYSTEM, STRIKE, USE_VS_FRIGATES, DIRECT_AIM",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASGARD BEAMS - medium range delete beams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-1 Asgard beam,unsf_asgbeam,1,0.5,8000,800,800,,1000,0,7,25,,,,ENERGY,,1000,,0.2,1.8,4,,,,,2500,,,,,"STRIKE, USE_VS_FRIGATES,","energy17, beam13, unsf_bp_wpn",,,,Suppression,,,,,,,,,,
Type-2 Asgard heavy beam,unsf_asgard_lance,1,0.5,8000,1000,1600,,2000,0,7,40,,,,ENERGY,,2000,,0.2,2.2,4,,,,,1800,,,,,"STRIKE, USE_VS_FRIGATES,","energy17, beam13, unsf_bp_wpn",,,,Suppression,,,,,,,,,,
Type-3 Asuran beam,unsf_asuranbeam,3,0.5,8000,1500,500,,400,0,15,40,,,,ENERGY,,150,0.1,0.1,,,,,,,2400,,,,,FIRE_WHEN_INEFFICIENT,"energy17, beam13, unsf_bp_wpn",,,,Suppression,,,,,,,,,,
#Type-3 Ori beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DRONE WEAPONS - very angry missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
