name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#RAILGUNS - and PD with extra steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-0 PD Railgun,unsf_railgun_pd,0,0.5,1500,500,,80,2,4,65,4,,,,FRAGMENTATION,25,,0,0.4,2,0.1,0,2,0.5,4,,1200,,,,"ANTI_FTR, PD","pd5, unsf_bp_wpn, merc",,,,Point Defense,,,,,,,,,,
Type-1 Small Railgun,unsf_railgun_small,0,0.5,500,650,,20,2,5,80,5,,,,KINETIC,15,,0,0.4,5,0.1,0,4,0.5,4,,600,,,,"STRIKE, USE_VS_FRIGATES, ANTI_FTR","kinetic5, unsf_bp_wpn, merc",,,,General,,,,,,,,,,
Type-2 Medium Railgun,unsf_railgun_medium,1,0.5,2500,1000,,40,10,10,40,11,,,,KINETIC,35,,0,1.4,4,0.05,0,8,0.5,2,,1000,,,,PD_ALSO,"kinetic10, unsf_bp_wpn, LR, merc",,,,Anti Shield,,,,,,,,,,
Type-3 Flak TED,unsf_flak_ted,2,0.5,6000,1000,,5,10,10,25,16,,,,FRAGMENTATION,240,,0,0.8,,,0,5,5,2,,750,750,1,,"ANTI_FTR, PD, DO_NOT_CONSERVE","pd15, unsf_bp_wpn, SR, merc",,,,Point Defense (Area),,,,,,,,,,
Type-2 Shotgun,unsf_shotgun,1,0.5,2000,650,,50,15,10,40,10,60,10,20,HIGH_EXPLOSIVE,25,,0,0.5,2,0,25,25,25,0,,1000,,,,"STRIKE, USE_VS_FRIGATES","he10, unsf_bp_wpn, SR, merc",,,,CQB Anti Armor,,,,,,,,,,
Type-2 Coilgun,unsf_coilgun,2,0.5,4000,800,,90,,20,30,13,,,,HIGH_EXPLOSIVE,75,,0,0.4,2,0.25,1,10,2,2,,800,,,,"STRIKE, USE_VS_FRIGATES","he10, unsf_bp_wpn, LR, merc",,,,Anti Armor,,,,,,,,,,
"#PULSE WEAPONS - long range, medium damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-3 Burst Pulsar,unsf_pulsar,3,0.5,8000,1200,,650,50,25,20,28,,,,FRAGMENTATION,160,,0,0.25,,,0,5,0.5,1,,1000,,,,"STRIKE, USE_VS_FRIGATES","kinetic15, unsf_bp_wpn, LR",,,,Suppression,,,,,,,,,,
Type-2 Asgard Pulse,unsf_asgard_pulse,2,0.5,4500,650,,150,20,0,25,11,15,2,5,ENERGY,120,,0,0.25,,,2,10,4,4,,1000,,,,"STRIKE, USE_VS_FRIGATES","energy10, unsf_bp_wpn",,,,Suppression,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FIGHTER WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-1 Small Railgun (Fighter),unsf_railgun_small_fighter,0,0.5,69,650,,20,2,2,50,0,,,,KINETIC,5,,0,0.4,4,0.05,0,5,0.5,4,,600,,,,"SYSTEM, ANTI_FTR, PD",,,,,Anti Small Craft,,,,,,,,,,
Type-0 PD Railgun (Fighter),unsf_railgun_pd_fighter,0,0.5,69,500,,40,2,1,50,0,,,,FRAGMENTATION,5,,0,0.25,2,0.05,0,4,0.5,4,,800,,,,"SYSTEM, ANTI_FTR, PD",,,,,Point Defense,,,,,,,,,,
"VLS Type-0 (pd, fighter)",unsf_vls_0_fighter,1,0.5,69,1000,,150,,0,100,0,8,,,FRAGMENTATION,0,,0,2,1,0.1,0,0,0,0,,600,50,5,100,"SYSTEM, ANTI_FTR, DIRECT_AIM, DO_NOT_CONSERVE",,,,,Point Defense,,,,,,,,,,
"VLS Type-1 (small, fighter)",unsf_vls_1_fighter,2,0.5,69,1000,,100,50,5,50,0,4,,,KINETIC,0,,0,4,1,0.25,0,0,0,0,,500,50,8,200,"SYSTEM, STRIKE, USE_VS_FRIGATES, DIRECT_AIM",,,,,Anti Shield,,,,,,,,,,
Space JDAM (bomber),unsf_bomb_pylon,2,0.5,69,1500,,500,,100,1,0,2,,,HIGH_EXPLOSIVE,0,,0,0.5,,,10,20,5,2,,250,250,10,400,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,,,Anti Armor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASGARD BEAMS - medium range delete beams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-1 Asgard Beam,unsf_asgard_beam,1,0.5,2500,700,120,,100,0,20,8,,,,ENERGY,,125,0,0.5,,1,,,,,2800,,,,,"STRIKE, USE_VS_FRIGATES,","energy5, beam5, unsf_bp_wpn, merc",,,,General,,,,,,,,,,
Type-2 Asgard Lance,unsf_asgard_lance,2,0.5,5000,1200,800,,450,0,10,12,,,,ENERGY,,1000,0,0.2,4,4,,,,,1200,,,,,"STRIKE, USE_VS_FRIGATES,","energy17, beam13, unsf_bp_wpn, merc",,,,Suppression,,,,,,,,,,
Type-2 Ori Lance,unsf_ori_lance,3,0.5,10000,1000,2000,,200,0,15,14,,,,ENERGY,,2200,0,0.1,2.5,5,,,,,800,,,,,"STRIKE, USE_VS_FRIGATES,","energy17, beam13, unsf_bp_wpn",,,,Strike,,,,,,,,,,
#Type-3 Asuran Beam,unsf_asuran_beam,3,0.5,10000,1500,280,,400,0,15,14,,,,ENERGY,,240,0,0.5,,1,,,,,2400,,,,,FIRE_WHEN_INEFFICIENT,"energy17, beam13, unsf_bp_wpn",,,,Strike,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DRONE WEAPONS - very angry missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type-1 Drone Launcher,unsf_drone_launcher,2,0.5,6500,1500,,250,,120,15,6,,,,HIGH_EXPLOSIVE,200,,0,20,6,0.25,0,0,0,,,800,0,10,200,"DO_NOT_AIM, MISSILE_SPREAD","missile18, unsf_bp_wpn",,,,General,,,,,,,,,,
#Type-3 Drone Launcher - for now WIP,unsf_drone_storage,1,0.5,1500000,3000,,250,,120,15,15,,,,HIGH_EXPLOSIVE,200,,0,25,14,0.2,0,0,0,,,800,0,30,800,"DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD","missile18, unsf_bp_wpn",,,,General,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VERTICAL LAUNCH MISSILE PODS - because US navy go brrr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
